transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale,,
180,2022-11-05,10:47:00,117,Male,41,Clothing,3,300,129,900,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('180','44870', 0.449305555555556,117,'Male',41,'Clothing',3,300,129,900),"
522,2022-07-09,11:00:00,52,Male,46,Beauty,3,500,145,1500,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('522','44751', 0.458333333333333,52,'Male',46,'Beauty',3,500,145,1500),"
559,2022-12-12,10:48:00,5,Female,40,Clothing,4,300,84,1200,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('559','44907', 0.45,5,'Female',40,'Clothing',4,300,84,1200),"
1180,2022-01-06,08:53:00,85,Male,41,Clothing,3,300,129,900,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1180','44567', 0.370138888888889,85,'Male',41,'Clothing',3,300,129,900),"
1522,2022-11-14,08:35:00,48,Male,46,Beauty,3,500,235,1500,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1522','44879', 0.357638888888889,48,'Male',46,'Beauty',3,500,235,1500),"
1559,2022-08-20,07:40:00,49,Female,40,Clothing,4,300,144,1200,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1559','44793', 0.319444444444444,49,'Female',40,'Clothing',4,300,144,1200),"
163,2022-10-31,09:38:00,144,Female,64,Clothing,3,50,23,150,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('163','44865', 0.401388888888889,144,'Female',64,'Clothing',3,50,23,150),"
303,2022-04-22,11:09:00,54,Male,19,Electronics,3,30,14.7,90,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('303','44673', 0.464583333333333,54,'Male',19,'Electronics',3,30,14.7,90),"
421,2022-04-08,08:43:00,66,Female,37,Clothing,3,500,235,1500,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('421','44659', 0.363194444444444,66,'Female',37,'Clothing',3,500,235,1500),"
979,2022-05-18,10:18:00,6,Female,19,Beauty,1,25,10.5,25,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('979','44699', 0.429166666666667,6,'Female',19,'Beauty',1,25,10.5,25),"
1163,2022-05-04,10:52:00,120,Female,64,Clothing,3,50,27,150,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1163','44685', 0.452777777777778,120,'Female',64,'Clothing',3,50,27,150),"
1303,2022-03-19,08:59:00,58,Male,19,Electronics,3,30,15,90,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1303','44639', 0.374305555555556,58,'Male',19,'Electronics',3,30,15,90),"
1421,2022-01-17,07:07:00,59,Female,37,Clothing,3,500,185,1500,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1421','44578', 0.296527777777778,59,'Female',37,'Clothing',3,500,185,1500),"
1979,2022-08-17,11:34:00,102,Female,19,Beauty,1,25,7.75,25,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1979','44790', 0.481944444444444,102,'Female',19,'Beauty',1,25,7.75,25),"
610,2022-12-18,06:56:00,137,Female,26,Beauty,2,300,93,600,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('610','44913', 0.288888888888889,137,'Female',26,'Beauty',2,300,93,600),"
1610,2022-11-23,10:18:00,1,Female,26,Beauty,2,300,102,600,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1610','44888', 0.429166666666667,1,'Female',26,'Beauty',2,300,102,600),"
32,2022-07-16,09:11:00,150,Male,30,Beauty,3,30,8.4,90,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('32','44758', 0.382638888888889,150,'Male',30,'Beauty',3,30,8.4,90),"
